,MassRange,MassMiddle,Monarch,Herrin,SpringField,BlueGem,Monarch_f,Herrin_f,SpringField_f,BlueGem_f
0,50-100,75,7,1,1,1,6.798301229565374,0.8566788771111318,1.2932484135067783,1.2329347907074395
1,100-150,125,4,1,1,1,4.255425941018636,0.5271416654265736,0.6635969594759623,0.5258849763649961
2,150-200,175,6,1,1,1,6.020735525721939,1.1431225523302395,1.3466733853639385,0.7161728675193075
3,200-250,225,10,3,3,1,9.970775537987748,2.7887419511402824,2.5619102623618053,1.3195543216296401
4,250-300,275,12,4,4,3,12.234400741195886,4.485248480827829,4.429124839443312,2.7336143709081195
5,300-350,325,15,6,7,4,14.877083378082867,6.458474141065115,6.530182611683718,4.210872837367328
6,350-400,375,16,9,9,6,15.650263873299753,8.566955499747994,9.008237090348395,5.835640453222377
7,400-450,425,16,10,11,7,15.892990043233233,10.206549403176778,11.161041904242794,7.270948047173799
8,450-500,475,17,12,13,8,16.76773197024098,11.721092951688588,12.63933506704839,8.487444191086773
9,500-550,525,17,13,14,9,16.619628857560354,12.673497330712536,13.570272736054738,9.223927890660718
10,550-600,575,16,13,15,10,15.997767294683563,13.281230966215986,14.523654757851508,9.675552005754168
11,600-650,625,15,14,14,10,14.867942654323528,13.525523315637368,14.469252350924542,10.114233654952457
12,650-700,675,14,13,14,10,14.385452766506502,13.394839083764817,14.344364657526173,10.048897949825738
13,700-750,725,14,13,14,10,13.835099338966625,13.18018178016001,14.089465881905197,10.064782484930502
14,750-800,775,13,13,14,10,13.039875861720288,12.872024608071502,13.619441792712117,9.792192516436247
15,800-850,825,12,12,13,10,12.004615809164754,11.89408748317523,13.027763691143273,9.744720316734652
16,850-900,875,11,12,13,10,11.288852312231475,11.936835930136864,12.657552013161904,9.58886980743849
17,900-950,925,11,11,12,9,10.704606094462408,11.145386724067507,12.04635779136593,9.314393220572153
18,950-1000,975,10,11,11,9,9.714835272726267,10.578447320807445,11.180134469273007,9.016934191718693
19,1000-1050,1025,9,10,11,9,9.458544190774663,9.985982926495371,10.64144963907216,8.774200288790949
20,1050-1100,1075,9,10,10,8,8.80873423158467,9.508444969184913,10.064078743337607,8.182956519312164
21,1100-1150,1125,8,9,9,8,8.360156623812951,8.897085955186306,9.498310816410878,7.94391339603189
22,1150-1200,1175,7,9,9,8,7.364168550735173,8.572364486914568,9.06280240312033,7.64076812579126
23,1200-1250,1225,7,8,8,7,7.348303840415127,8.064187234557323,8.469609277193285,7.192518155094025
24,1250-1300,1275,7,8,8,7,6.581769372494476,7.6504753258124385,8.192856682469893,6.999446512355739
25,1300-1350,1325,6,7,8,7,6.400202245539256,7.295773722220307,7.754212331663716,6.734195225466153
26,1350-1400,1375,6,7,7,6,5.692994777881775,6.768240438368052,7.220964484038666,6.32180419697386
27,1400-1450,1425,5,6,7,6,5.3324136898827925,6.3441525800477185,6.821999924420498,6.120955200876555
28,1450-1500,1475,5,6,7,6,5.237264407594751,6.09575017586177,6.510984157854273,5.781997164405125
29,1500-1550,1525,5,6,6,5,5.066748006378434,5.817538242402259,5.906888558252766,5.4098847784999124
30,1550-1600,1575,4,5,6,5,4.481780665413003,5.317387229066382,5.704799784924199,5.110367620513276
31,1600-1650,1625,4,5,5,5,4.264371766616795,5.086848053465672,5.496736439731441,4.901487303199173
32,1650-1700,1675,4,5,5,5,3.8993470005429094,4.758989760378337,5.088066764399323,4.737612069253946
33,1700-1750,1725,4,5,5,4,3.9612661463497725,4.653396249620409,4.868591864766576,4.308366810199912
34,1750-1800,1775,3,4,5,4,3.2913232071098926,4.297097153044313,4.626139095701135,4.294527211092854
35,1800-1850,1825,3,4,4,4,3.4036819970301204,4.031320073952689,4.222967492636677,4.1494455986233225
36,1850-1900,1875,4,4,4,4,3.526740695999126,3.8826252719089998,4.058041615191368,3.845792392667131
37,1900-1950,1925,3,4,4,4,3.21367577969581,3.6338234944770607,3.80389627910337,3.6565962334728854
38,1950-2000,1975,3,3,4,4,2.767281031329306,3.380818604436831,3.705220136160304,3.5390453964434427
39,2000-2050,2025,3,3,3,3,2.7728161391068156,3.296353101614861,3.304687607784323,3.35595436068751
40,2050-2100,2075,3,3,3,3,2.5444344738361777,3.129674871271121,3.250725046638769,3.205107348017994
41,2100-2150,2125,2,3,3,3,2.3410192630126887,2.859853653387571,3.0931136416325105,3.0490292571349893
42,2150-2200,2175,2,3,3,3,2.4978927929464114,2.6841022832805455,2.886956294825875,2.8309335346957387
43,2200-2250,2225,2,3,3,3,2.2557708073125884,2.629663444700833,2.711136088998351,2.739439140217715
44,2250-2300,2275,2,2,3,3,2.3887498226856527,2.419344963059752,2.5446463154413523,2.565355717703293
45,2300-2350,2325,2,2,2,3,2.1140993339509,2.3060160190421,2.3407615051720163,2.520706848992082
46,2350-2400,2375,2,2,2,2,1.90127054194242,2.1999029353233674,2.3157758212000936,2.4026711642341505
47,2400-2450,2425,2,2,2,2,1.8930068599083911,1.988378579124004,2.168631116733011,2.2295937182992454
48,2450-2500,2475,2,2,2,2,1.7922640003944872,2.0213908491858046,2.003636004303591,2.094611451031289
